"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"1074","Emma","Jun","SPY/YAF","2",5.5,47.1
"1075","Esther","Jun","SPY/YAF","2",5,47.1
"1076","Hazel","Jun","SPY/YAF","3",3.38,47.1
"1077","Longnose","Jun","SPY/YAF","1",6.44,47.1
"1078","Nikita","Jun","SPY/YAF","1",5,47.1
"1079","Qantas","Jun","SPY/YAF","2",3.78,47.1
"1080","Nicola","Oct","YAF","2",4.75,59.55
"1081","Dot","Nov","YAF","1",4.78,92.45
"1082","Ellie","Nov","YAF","1",7.5,92.45
"1083","Lumpy","Jul","YAF","1",4.5,19
"1084","Sally","Aug","YAF","1",4.56,12.75
"1085","Diamond","Sep","YAF","1",3.33,50.8
"1086","Enid","Sep","YAF","2",4.25,50.8
"1087","Odette","Oct","YAF","3",3.7,59.55
"1088","Brigit","Nov","YAF","2",4.76,92.45
"1089","Delilah","Nov","YAF","1",5.7,92.45
"1090","Poppy","Nov","YAF","2",4.78,92.45
"1091","Ellie","Dec","YAF","1",5.23,78.5
"1092","Amy","Jan","YAF","1",5.67,101.45
"1093","Firefly","Jun","YAF","1",1.63,20.3
"1094","Anna","Feb","YAF","2",3.89,52.6
"1095","Amber","Aug","YAF","1",7.56,19
"1096","Lauren","Sep","YAF","2",4.83,50.8
"1097","Mary","Sep","YAF","1",3,50.8
"1098","Sally","Sep","YAF","1",5.56,50.8
"1099","Amanda","Oct","YAF","3",7.09,59.55
"1100","Firefly","Oct","YAF","1",4.3,59.55
"1101","Sally","Oct","YAF","2",5.54,59.55
"1102","Esther","Nov","YAF","2",5,92.45
"1103","Firefly","Nov","YAF","1",8.89,92.45
"1104","Hazel","Nov","YAF","2",7.54,92.45
"1105","Brigit","Dec","YAF","2",3.8,78.5
"1106","Emma","Dec","YAF","2",8.5,78.5
"1107","Kiwi","Dec","YAF","2",5,78.5
"1108","Margret","Dec","YAF","2",4.5,78.5
"1109","Enid","Jul","YAF","2",3.79,19
"1110","Enid","Aug","YAF","2",7.36,12.75
"1111","Celine","Oct","YAF","3",6,59.55
"1112","Stripes","Oct","YAF","3",7,59.55
"1113","Lauren","Nov","YAF","2",7.4,92.45
"1114","Pixie","Nov","YAF","2",9.63,92.45
"1115","Apanie","Dec","YAF","2",7.22,78.5
"1116","Celine","Dec","YAF","2",8.8,78.5
"1117","Ditto","Dec","YAF","3",11.1,78.5
"1118","Dot","Dec","YAF","1",9.36,78.5
"1119","Firefly","Dec","YAF","2",7.1,78.5
"1120","Goggles","Dec","YAF","2",8,78.5
"1121","Longnose","Dec","YAF","1",7.64,78.5
"1122","Pebbles","Dec","YAF","1",6.56,78.5
"1123","Esther","Apr","YAF","2",3.2,15.1
"1124","Enid","Jul","YAF","2",6.18,42.2
"1125","Sally","Aug","YAF","2",4.44,54.5
"1126","Amy","Sep","YAF","1",7.8,2.8
"1127","Amy","Nov","YAF","1",3.88,37.1
"1128","Odette","Nov","YAF","2",4.42,37.1
"1129","Camilla","Jan","YAF","1",2.63,101.45
"1130","Nikki","Feb","YAF","2",5.4,155.2
"1131","Amanda","Apr","YAF","2",1.88,126
"1132","Delilah","Apr","YAF","2",3,126
"1133","Hazel","Apr","YAF","3",3.63,126
"1134","Amber","Jul","YAF","2",5.83,80.4
"1135","Blondie","Jul","YAF","1",2.75,80.4
"1136","Enid","Jul","YAF","2",3.75,80.4
"1137","Firefly","Jul","YAF","1",4.8,80.4
"1138","Firefly","Aug","YAF","1",7.09,32.4
"1139","Firefly","Sep","YAF","1",8.18,6
"1140","Candice","Oct","YAF","1",3.63,23.9
"1141","Delilah","Jan","YAF","1",2.91,13.8
"1142","Delilah","Jul","YAF","1",4.19,40.2
"1143","Longnose","Aug","YAF","1",5.41,11
"1144","Jacquei","Jul","YAF","3",6.82,19
"1145","Amanda","Aug","YAF","2",7.09,19
"1146","Apanie","Nov","YAF","2",7.38,92.45
"1147","Celine","Nov","YAF","2",4.67,92.45
"1148","Emma","Nov","YAF","3",10.13,92.45
"1149","Goggles","Nov","YAF","2",13.38,92.45
"1150","Odette","Nov","YAF","2",8.44,92.45
"1151","Tilly","Nov","YAF","3",11.6,92.45
"1152","Alison","Dec","YAF","3",7.8,78.5
"1153","Delilah","Dec","YAF","1",3.67,78.5
"1154","Hazel","Dec","YAF","3",7.08,78.5
"1155","Lauren","Dec","YAF","1",7.33,78.5
"1156","Delilah","Apr","YAF","1",3.25,15.1
"1157","Enid","Jun","YAF","2",4.33,23.4
"1158","Claire","Sep","YAF","1",7,2.8
"1159","Granite","Sep","YAF","1",6.92,2.8
"1160","Odette","Oct","YAF","2",5,27.8
"1161","Cotton","Mar","YAF","2",5.91,74.3
"1162","Sally","Jul","YAF","2",3.36,80.4
"1163","Nikki","Jan","YAF","2",5.38,13.8
"1164","Odette","Jan","YAF","2",3.75,13.8
"1165","Delilah","May","YAF","2",5.78,68.4
"1166","Robin","May","YAF","2",4.8,68.4
"1167","Jacquei","Sep","YAF","2",9.59,49.8
"1168","Alison","Nov","YAF","3",8.56,92.45
"1169","Pixie","Dec","YAF","1",6.33,78.5
"1170","Tilly","Dec","YAF","2",8.54,78.5
"1171","Delilah","Jul","YAF","1",7.13,42.2
"1172","Sally","Jul","YAF","2",4.88,42.2
"1173","Jill","Sep","YAF","1",16.25,2.8
"1174","Odette","Sep","YAF","2",5.75,2.8
"1175","Violet","Sep","YAF","1",12.5,2.8
"1176","Blondie","Oct","YAF","2",4.3,27.8
"1177","Martha","Oct","YAF","2",8.33,27.8
"1178","Qantas","Oct","YAF","2",6.92,27.8
"1179","Apanie","Nov","YAF","2",3.89,37.1
"1180","Cotton","Nov","YAF","2",7.56,37.1
"1181","Emma","Nov","YAF","2",8,37.1
"1182","Martha","Nov","YAF","2",5.88,37.1
"1183","Martha","Jan","YAF","2",2,101.45
"1184","Opal","Jan","YAF","3",6,101.45
"1185","Blondie","Aug","YAF","2",5.88,32.4
"1186","Amanda","Sep","YAF","1",3.56,6
"1187","Blondie","Sep","YAF","1",8.8,6
"1188","Firefly","Nov","YAF","1",3.13,59.8
"1189","Apanie","Jan","YAF","1",5.13,13.8
"1190","Nikita","Jan","YAF","1",4.6,13.8
"1191","Amanda","Jul","YAF","2",3.09,42.2
"1192","Amanda","Aug","YAF","2",7.1,54.5
"1193","Amanda","Sep","YAF","1",7.67,2.8
"1194","Firefly","Sep","YAF","1",17.07,2.8
"1195","Nina","Sep","YAF","1",19.77,2.8
"1196","Amber","Oct","YAF","2",6.67,27.8
"1197","Amy","Oct","YAF","1",7,27.8
"1198","Cotton","Oct","YAF","2",5.36,27.8
"1199","Firefly","Nov","YAF","1",7.83,37.1
"1200","Apanie","Jan","YAF","2",6.56,101.45
"1201","Dot","Aug","YAF","1",5.25,32.4
"1202","Qantas","Aug","YAF","1",6.44,32.4
"1203","Pickles","Sep","YAF","1",10.11,6
"1204","Qantas","Sep","YAF","2",3.91,6
"1205","Blondie","Sep","YAF","2",10.54,2.8
"1206","Mollie","Sep","YAF","3",9.63,2.8
"1207","Stripes","Sep","YAF","2",8.71,2.8
"1208","Firefly","Oct","YAF","1",6.54,27.8
"1209","Nina","Oct","YAF","2",6.73,27.8
"1210","Amber","Nov","YAF","1",7.44,37.1
"1211","Nina","Nov","YAF","1",4.88,37.1
"1212","Pixie","Mar","YAF","2",3.4,74.3
"1213","Jacquei","Jan","YAF","2",3.8,13.8
"1214","Indi","Feb","YAF","3",5.5,52.6
"1215","Delilah","Jun","YAF","1",3.6,54.9
"1216","Pixie","Jun","YAF","2",5,54.9
"1217","Nikki","Aug","YAF","2",6.44,95.1
"1218","Pixie","Aug","YAF","1",7.13,95.1
"1219","Jessie","Oct","YAF","2",3.67,123.8
"1220","Lauren","Oct","YAF","2",6.4,123.8
"1221","Nikki","Oct","YAF","2",5.33,123.8
"1222","Pixie","Oct","YAF","2",6.88,123.8
"1223","Anna","Nov","YAF","2",6.25,80.6
"1224","Anne","Nov","YAF","2",6.5,80.6
"1225","Dianne","Nov","YAF","2",2.5,80.6
"1226","Firefly","Nov","YAF","2",3.5,80.6
"1227","Lauren","Nov","YAF","3",6.82,80.6
"1228","Nikki","Nov","YAF","2",6.44,80.6
"1229","Pixie","Nov","YAF","2",4.88,80.6
"1230","Stripes","Nov","YAF","3",6,80.6
"1231","Taz","Nov","YAF","3",4.56,80.6
"1232","Acacia","Dec","YAF","2",7,48.8
"1233","Anna","Dec","YAF","3",4.5,48.8
"1234","Apanie","Dec","YAF","2",7.74,48.8
"1235","Blondie","Dec","YAF","3",6.81,48.8
"1236","Bonnie","Dec","YAF","2",3.9,48.8
"1237","Celine","Dec","YAF","2",5.5,48.8
"1238","Delilah","Dec","YAF","2",5.45,48.8
"1239","Dianne","Dec","YAF","2",5.5,48.8
"1240","Ellie","Dec","YAF","2",6.33,48.8
"1241","Esther","Dec","YAF","2",4.15,48.8
"1242","Firefly","Dec","YAF","2",4.25,48.8
"1243","Goggles","Dec","YAF","2",4.22,48.8
"1244","Hazel","Dec","YAF","3",5,48.8
"1245","Julliet","Dec","YAF","2",4.8,48.8
"1246","Justine","Dec","YAF","2",3.75,48.8
"1247","Lauren","Dec","YAF","2",6.64,48.8
"1248","Longnose","Dec","YAF","1",5.91,48.8
"1249","Mollie","Dec","YAF","2",4.13,48.8
"1250","Nikita","Dec","YAF","2",4.54,48.8
"1251","Nikki","Dec","YAF","2",7.75,48.8
"1252","Qantas","Dec","YAF","3",6,48.8
"1253","Storm","Dec","YAF","2",4.44,48.8
"1254","Stripes","Dec","YAF","3",6.45,48.8
"1255","Anna","Jan","YAF","2",4.89,149.15
"1256","Bonnie","Jan","YAF","1",5.67,149.15
"1257","Camilla","Jan","YAF","1",5.17,149.15
"1258","Cotton","Jan","YAF","3",6.44,149.15
"1259","Deberah","Jan","YAF","1",6.5,149.15
"1260","Delilah","Jan","YAF","2",6.375,149.15
"1261","Dianne","Jan","YAF","3",5.45,149.15
"1262","Esther","Jan","YAF","2",5.73,149.15
"1263","Justine","Jan","YAF","2",3.75,149.15
"1264","Lumpy","Jan","YAF","1",5.4,149.15
"1265","Nikita","Jan","YAF","1",4.44,149.15
"1266","Qantas","Jan","YAF","2",7.8,149.15
"1267","Anna","Feb","YAF","2",2.82,135.3
"1268","Cotton","Feb","YAF","3",8.67,135.3
"1269","Deberah","Feb","YAF","2",8,135.3
"1270","Esther","Feb","YAF","2",2.54,135.3
"1271","Granite","Feb","YAF","1",3.27,135.3
"1272","Lumpy","Feb","YAF","1",7.78,135.3
"1273","Lydia","Feb","YAF","3",4.73,135.3
"1274","Opal","Feb","YAF","3",5.3,135.3
"1275","Pebbles","Feb","YAF","2",6.89,135.3
"1276","Qantas","Feb","YAF","2",5.36,135.3
"1277","Anna","Mar","YAF","2",11.44,30.45
"1278","Darcy","Mar","YAF","2",5.375,30.45
"1279","Dianne","Mar","YAF","2",9.91,30.45
"1280","Ditto","Mar","YAF","2",8.54,30.45
"1281","Emma","Mar","YAF","3",7.22,30.45
"1282","Esther","Mar","YAF","2",9.33,30.45
"1283","Lumpy","Mar","YAF","1",4.07,30.45
"1284","Lydia","Mar","YAF","3",4.09,30.45
"1285","Opal","Mar","YAF","3",4.5,30.45
"1286","Poppy","Mar","YAF","1",4.1,30.45
"1287","Yvonne","Mar","YAF","2",10.54,30.45
"1288","Cotton","Apr","YAF","2",7.11,66.2
"1289","Darcy","Apr","YAF","1",7.42,66.2
"1290","Dianne","Apr","YAF","1",6.3,66.2
"1291","Esther","Apr","YAF","2",5.4,66.2
"1292","Lumpy","Apr","YAF","1",9.1,66.2
"1293","Lydia","Apr","YAF","3",6.44,66.2
"1294","Opal","Apr","YAF","2",7.785,66.2
"1295","Poppy","Apr","YAF","2",5.875,66.2
"1296","Susan","Apr","YAF","2",8.11,66.2
"1297","Yvonne","Apr","YAF","1",5.25,66.2
"1298","Julliet","May","YAF","1",4,59.8
"1299","Lumpy","May","YAF","1",6.1,59.8
"1300","Susan","May","YAF","2",6.56,59.8
"1301","Jacquei","Jun","YAF","3",3.67,47.1
"1302","Lumpy","Jun","YAF","1",5,47.1
"1303","Susan","Jul","YAF","1",3.44,47.1
"1304","Lauren","Oct","YAF","2",4,59.55
"1305","Martha","Dec","YAF","3",8,78.5
