"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"234","Fetta","Aug","MPY","2",6.42,11
"235","Hazel","Aug","MPY","3",8.4,11
"236","Alison","Sep","MPY","2",11,49.8
"237","Chloe","Sep","MPY","2",6.54,49.8
"238","Ellie","Sep","MPY","1",10.75,49.8
"239","Esther","Sep","MPY","2",8.47,49.8
"240","Jill","Jul","MPY","3",6.43,19
"241","Lauren","Jul","MPY","2",4.73,19
"242","Apanie","Aug","MPY","3",7.3,19
"243","Candice","Aug","MPY","2",7.82,12.75
"244","Ditto","Aug","MPY","3",7,12.75
"245","Dot","Aug","MPY","2",8.67,12.75
"246","Longnose","Aug","MPY","1",6,12.75
"247","Stripes","Aug","MPY","2",6.67,12.75
"248","Camilla","Sep","MPY","1",6.46,50.8
"249","Cotton","Sep","MPY","2",8.18,50.8
"250","Domino","Sep","MPY","2",7.67,50.8
"251","Dot","Sep","MPY","1",5.17,50.8
"252","Pixie","Sep","MPY","1",9.36,50.8
"253","Qantas","Sep","MPY","2",6.5,50.8
"254","Taz","Sep","MPY","3",8.3,50.8
"255","Dion","Oct","MPY","3",6.63,59.55
"256","Robin","Oct","MPY","3",6.56,59.55
"257","Amy","Dec","MPY","2",3.92,78.5
"258","Enid","Apr","MPY","2",3.89,15.1
"259","Firefly","Jul","MPY","2",6.63,42.2
"260","Apanie","Aug","MPY","2",10.6,54.5
"261","Candice","Aug","MPY","2",8.5,54.5
"262","Brigit","Sep","MPY","1",16.91,2.8
"263","Joy","Sep","MPY","2",7.44,2.8
"264","Nicola","Sep","MPY","2",14.7,2.8
"265","Sara","Sep","MPY","2",8.6,2.8
"266","Camilla","Oct","MPY","1",10.38,27.8
"267","Dianne","Oct","MPY","2",6.73,27.8
"268","Kathy","Oct","MPY","1",12.2,27.8
"269","Alison","Nov","MPY","2",4.33,37.1
"270","Delilah","Nov","MPY","1",6,37.1
"271","Nikita","Nov","MPY","2",7,37.1
"272","Pixie","Jan","MPY","2",4.75,101.45
"273","Ansett","Jul","MPY","2",3.63,80.4
"274","Esther","Jul","MPY","3",4,80.4
"275","Longnose","Jul","MPY","2",6.38,80.4
"276","Dash","Aug","MPY","1",6.56,32.4
"277","Emma","Aug","MPY","2",8.7,32.4
"278","Esther","Aug","MPY","3",5.89,32.4
"279","Brigit","Sep","MPY","2",5.08,6
"280","Emma","Sep","MPY","1",9.08,6
"281","Jo","Sep","MPY","2",4.45,6
"282","Lydia","Sep","MPY","3",5.13,6
"283","Nikita","Sep","MPY","2",8.64,6
"284","Opal","Sep","MPY","3",8.4,6
"285","Tilly","Sep","MPY","1",8.92,6
"286","Naomi","Nov","MPY","2",5.5,59.8
"287","Enid","Jan","MPY","2",4.5,13.8
"288","Francis","Jan","MPY","2",5.13,13.8
"289","Nina","Feb","MPY","1",4.25,56.6
"290","Zaza","May","MPY","2",7.2,68.4
"291","Darcy","Jul","MPY","2",5.31,40.2
"292","Alison","Aug","MPY","2",11.44,11
"293","Ansett","Aug","MPY","2",6.93,11
"294","Bubbles","Aug","MPY","2",7.67,11
"295","Cotton","Aug","MPY","2",8.23,11
"296","Margret","Aug","MPY","2",8.5,11
"297","Brie","Sep","MPY","2",7.82,49.8
"298","Gogo","Sep","MPY","2",7.75,49.8
"299","Michelle","Sep","MPY","3",12.5,49.8
"300","Starbuck","Sep","MPY","3",5.09,49.8
"301","Themeda","Sep","MPY","2",8.06,49.8
"302","Zaza","Sep","MPY","2",9.87,49.8
"303","Goggles","Jul","MPY","2",5.22,19
"304","Domino","Aug","MPY","2",7.75,12.75
"305","Apanie","Sep","MPY","2",6.85,50.8
"306","Goggles","Sep","MPY","2",6.69,50.8
"307","Stripes","May","MPY","2",6.25,86.85
"308","Odette","Jul","MPY","3",6,42.2
"309","Amber","Aug","MPY","2",12.44,54.5
"310","Emma","Aug","MPY","2",9.33,54.5
"311","Ansett","Sep","MPY","2",10.08,2.8
"312","Taz","Sep","MPY","3",10.33,2.8
"313","Nicola","Oct","MPY","2",5.83,27.8
"314","Nikita","Oct","MPY","1",7.27,27.8
"315","Themeda","Oct","MPY","3",7.31,27.8
"316","Tilly","Oct","MPY","2",7.79,27.8
"317","Dash","Nov","MPY","2",6.7,37.1
"318","Olive","Jan","MPY","1",3.9,101.45
"319","Blondie","Apr","MPY","3",4.33,126
"320","Pickles","Jul","MPY","2",6.78,80.4
"321","Hazel","Aug","MPY","2",7.63,32.4
"322","Jacquei","Aug","MPY","3",6.56,32.4
"323","Longnose","Aug","MPY","2",5.73,32.4
"324","Pickles","Aug","MPY","2",3.8,32.4
"325","Apanie","Sep","MPY","1",12.5,6
"326","Cotton","Sep","MPY","1",12.88,6
"327","Darcy","Sep","MPY","1",8.27,6
"328","Dash","Sep","MPY","1",5,6
"329","Delilah","Sep","MPY","1",7.27,6
"330","Ellie","Sep","MPY","1",8.67,6
"331","Goggles","Sep","MPY","2",7,6
"332","Michelle","Sep","MPY","3",10.33,6
"333","Sadie","Sep","MPY","2",14.25,6
"334","Bonnie","Jul","MPY","2",6.58,40.2
"335","Blondie","Aug","MPY","3",9.19,11
"336","Daniella","Aug","MPY","2",9,11
"337","Indi","Aug","MPY","2",4.67,11
"338","Zaza","Aug","MPY","2",9.5,11
"339","Blondie","Sep","MPY","2",8.78,49.8
"340","Darcy","Sep","MPY","2",12.64,49.8
"341","Dash","Sep","MPY","2",12.31,49.8
"342","Fetta","Sep","MPY","2",6.71,49.8
"343","Indi","Sep","MPY","2",7.24,49.8
"344","Strawberry","Sep","MPY","2",6.9,49.8
"345","Stripes","Sep","MPY","3",8.26,49.8
"346","Tilly","Sep","MPY","1",12.1,49.8
"347","Kiwi","Aug","MPY","1",6.64,54.5
"348","Camilla","Sep","MPY","1",12.23,2.8
"349","Darcy","Sep","MPY","1",15,2.8
"350","Domino","Sep","MPY","2",8.22,2.8
"351","Emma","Sep","MPY","2",17.29,2.8
