UniqueID,Year,Admin,Longitude,Latitude,Area
11052,2002,2,-50.35053796,-21.26089685,708.0430341
11062,2002,2,-49.0714319,-21.61000094,708.0430341
11087,2002,2,-47.04371594,-22.88340502,708.0430341
11187,2002,2,-50.69489278,-21.28463951,708.0430341
11537,2002,2,-49.35821499,-20.79678619,708.0430341
11543,2002,2,-46.64735526,-23.64969432,708.0430341
11548,2002,2,-46.75255277,-21.7533772,708.0430341
11550,2002,2,-46.48015293,-23.96013516,708.0430341
6997,2003,2,-39.480165,-7.212950077,708.0430341
7005,2003,2,-38.52850792,-3.784849794,708.0430341
7045,2003,2,-39.28221936,-7.181933801,708.0430341
7051,2003,2,-38.8242337,-4.002709643,708.0430341
7301,2003,2,-49.27509198,-16.64207616,708.0430341
7636,2003,2,-44.28225011,-2.631781763,708.0430341
7844,2003,2,-54.66802635,-16.5197669,708.0430341
7936,2003,2,-43.95973192,-19.90239669,708.0430341
8583,2003,2,-44.86214932,-15.89675881,708.0430341
9183,2003,2,-49.28905096,-25.47596512,708.0430341
9492,2003,2,-35.94366862,-8.453952943,708.0430341
9519,2003,2,-35.08005625,-8.271341838,708.0430341
9525,2003,2,-34.99495414,-7.984535625,708.0430341
9576,2003,2,-34.99908888,-8.154737775,708.0430341
9599,2003,2,-35.23556536,-7.733135553,708.0430341
9600,2003,2,-34.86446703,-7.999332773,708.0430341
9941,2003,2,-43.05519939,-22.91658456,708.0430341
9961,2003,2,-43.45091073,-22.92497304,708.0430341
10553,2003,2,-52.31308219,-28.00867841,708.0430341
11010,2003,2,-50.57418267,-21.11328757,708.0430341
11100,2003,2,-46.84179892,-23.54891699,708.0430341
11187,2003,2,-50.69489278,-21.28463951,708.0430341
11198,2003,2,-47.20771696,-22.87777665,708.0430341
11243,2003,2,-48.70087921,-22.25036441,708.0430341
11255,2003,2,-47.80762679,-20.32948281,708.0430341
11436,2003,2,-45.3028566,-22.82463447,708.0430341
11543,2003,2,-46.64735526,-23.64969432,708.0430341
11548,2003,2,-46.75255277,-21.7533772,708.0430341
11758,2003,2,-48.88880506,-11.65580189,708.0430341
6969,2004,2,-39.31264856,-7.375974022,708.0430341
